QueryName	ReferenceStart	ReferenceEnd	PrimerPair	Primer1	Primer1Start	Primer2	Primer2Start	IsSecondary	IsSupplementary	Start	End	CorrectlyPaired
3bb8f9c8-79c1-48ae-a0a3-56ddad2c46c5	0	642	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	0	False	False	1	642	1
196f8611-5618-438a-97de-cee08de5cde3	0	637	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	5	False	False	1	642	1
a7aee824-e07d-4327-a2b3-d4650b7ee384	0	642	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	0	False	False	1	642	1
b11f3d70-36f4-4857-a39b-f35eff0ba8a0	0	642	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	0	False	False	1	642	1
f2b550be-cb71-45d0-96f4-8e955b11e6a9	0	642	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	0	False	False	1	642	1
c2de87be-a99b-45f6-bb33-1b7737744c3e	0	640	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	2	False	False	1	642	1
f78ae27b-bd44-47af-8f4e-fc2e3de1cfb5	0	642	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	0	False	False	1	642	1
d2e39ea2-daf8-432a-b1b9-37b058e8f679	0	642	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	0	False	False	1	642	1
5c068844-062b-4a51-8da4-e352e30ddcfe	0	653	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	11	False	False	1	642	1
ab761829-0fe6-4b89-aeeb-03aa53da8634	0	642	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	0	False	False	1	642	1
3801155a-d5a2-4155-8f57-7eea4d9a152b	0	642	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	0	False	False	1	642	1
0db924b2-600d-418d-b3de-0113e90f1d02	0	662	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	20	False	False	1	642	1
9b145357-fba0-4f4d-a5b4-050749077aa7	0	118	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	524	False	False	1	642	1
f860eb52-1343-4182-a022-baca9239fa7a	0	642	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	0	False	False	1	642	1
c80e89da-3430-4837-be99-fa2d91de30f8	0	642	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	0	False	False	1	642	1
91aedad3-2cc0-4b7d-bac9-b0ffc0096748	0	642	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	0	False	False	1	642	1
a89a6132-9b2d-4412-8cc0-34cd1e22907a	0	642	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	0	False	False	1	642	1
13c394aa-3f21-41b9-9c21-aa84b44cc8af	0	642	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	0	False	False	1	642	1
27db21fd-9abe-4508-9ba3-ea07da742103	0	642	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	0	False	False	1	642	1
66b77733-c0dc-47f1-8085-d3004b042171	0	639	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	3	False	False	1	642	1
f30d979f-cd85-4067-b89c-8db7823b1969	0	641	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	1	False	False	1	642	1
0995367b-6a8f-4d22-995e-a219e7c3d075	0	642	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	0	False	False	1	642	1
13ad1d19-8bf9-4362-9a92-50393a98a534	0	642	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	0	False	False	1	642	1
7f3e5580-1e27-4452-b62d-2fba33616209	0	158	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	484	False	False	1	642	1
b75a73ce-bdc5-4de9-b3a7-559c1e6852e0	0	642	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	0	False	False	1	642	1
ab69e980-732d-4953-80b6-1de74326b8d9	0	642	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	0	False	False	1	642	1
5cf861b5-260f-4441-9325-f02cf6093b40	0	631	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	11	False	False	1	642	1
65239573-84fc-4f0a-a3ad-da6797f8d92b	0	642	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	0	False	False	1	642	1
685dfa14-b917-4c0f-af03-34e30bcb702f	0	640	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	2	False	False	1	642	1
35c384d7-25b7-4f69-8cc8-169015f2ef61	0	656	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	14	False	False	1	642	1
3569c305-5cba-4c3c-aec7-26c4de98d5d1	0	642	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	0	False	False	1	642	1
21ef489f-0545-445e-85ec-ae8927b47ea6	0	656	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	14	False	False	1	642	1
dc14771c-283d-49b8-8656-008ac89a5049	0	642	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	0	False	False	1	642	1
3084fc62-4fb8-4523-8afa-bc6a0b2f1fec	0	641	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	1	False	False	1	642	1
1c4798c1-cafd-4ecc-827c-d945cec02d16	0	642	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	0	False	False	1	642	1
ecbb382e-c555-4d04-b081-89916af4477b	0	641	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	1	False	False	1	642	1
c9dcf64f-c003-4fec-9c8b-cf9ceb39da7f	0	642	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	0	False	False	1	642	1
9e5e9587-40fd-427c-96b0-bbcda4114217	0	642	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	0	False	False	1	642	1
bb5371e5-661c-4114-b295-6106e379b1b2	0	632	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	10	False	False	1	642	1
5fb07dfa-6788-4ede-824f-6dca956f68cf	0	641	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	1	False	False	1	642	1
0b9f93d1-9233-4d64-ad0a-76247b1fe902	0	642	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	0	False	False	1	642	1
99623a2f-9ae1-4f8d-9bf3-5b6bf77e316d	0	642	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	0	False	False	1	642	1
0d81d0c1-0172-480f-90eb-d340c1415b19	0	642	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	0	False	False	1	642	1
f88eb3f1-fc73-4d3d-9430-11ddbb3eab84	0	642	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	0	False	False	1	642	1
9c85a5b4-1e73-4106-a19f-db29ebad6d4b	0	1220	1_LEFT_2_RIGHT	1_LEFT	1	2_RIGHT	16	False	False	1	1236	0
e21f79cb-a890-4975-a0c6-ec79e3d71b4f	0	642	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	0	False	False	1	642	1
b5db4fa6-c16b-43ea-baba-eccc7b33b46a	0	642	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	0	False	False	1	642	1
5217a06c-eb60-4d29-990a-6b5ace2f01e9	0	642	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	0	False	False	1	642	1
6e3d3d5b-94a0-4306-8f67-867159f5937d	0	642	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	0	False	False	1	642	1
a3328796-5f4c-4707-a699-33587c9db321	0	642	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	0	False	False	1	642	1
d9a2880a-15cb-4aab-8ed6-161538899c29	0	642	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	0	False	False	1	642	1
861794de-f980-4f2b-8846-9bdb7b47d6e2	0	642	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	0	False	False	1	642	1
e2745521-7cbc-42ee-b165-5033e5133cee	0	642	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	0	False	False	1	642	1
03871334-d606-40a9-9f34-75dd66e1d32c	0	657	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	15	False	False	1	642	1
75de6d8f-8014-4e22-84d5-df85da7e790c	0	642	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	0	False	False	1	642	1
1cc550d2-e4e6-4f80-b1ce-f4d3c945380d	0	667	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	25	False	False	1	642	1
83236bd4-c451-41c0-8522-6d88f4eaf00f	0	642	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	0	False	False	1	642	1
5a2da5e3-9792-48e6-9ed3-99e6a64ff8f6	0	642	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	0	False	False	1	642	1
1fb4f737-7732-433f-956a-a2ec6183f697	0	642	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	0	False	False	1	642	1
2f4590dc-755f-4d2d-b789-479600d0df29	0	642	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	0	False	False	1	642	1
8a0bbc00-afcd-4cb8-9685-824d1623491a	0	642	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	0	False	False	1	642	1
b820859c-5f9a-45d7-a6d3-bb8e69c81257	0	642	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	0	False	False	1	642	1
eccd331e-377f-47d3-9922-7fe8b5acadef	0	632	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	10	False	False	1	642	1
a2913fbf-b0cf-4a73-964e-a60b346dfdf7	0	642	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	0	False	False	1	642	1
b6d0299a-ebd0-4a34-8a60-ddc956896acb	0	642	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	0	False	False	1	642	1
7710e514-ac31-4ca6-bffa-404992cf9f25	0	642	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	0	False	False	1	642	1
0b812914-4e24-4003-8416-af6bd322f3e4	0	642	1_LEFT_1_RIGHT	1_LEFT	1	1_RIGHT	0	False	False	1	642	1
